amount,link
Ξ2.7,https://etherscan.io/tx/0x522c99debaabc0dd09920c9f78667ed29446d80a324d3449ebdbab2e6c81ba69
Ξ0.1,https://etherscan.io/tx/0x1d388a65d960cfa8654be3866096ac3e96b39119f3e77b800c40edec2d6b0808
Ξ0.06,https://etherscan.io/tx/0xee3cd7a5af77f24be188cb74b7e8cc9edd8d0f413d2e37da632c7beb4b2a6168
Ξ0.1,https://etherscan.io/tx/0x51dbefa1f0baeea7d05ab99bde8b2afc07968d9a762831de658a2d2c8b477c65
Ξ0.01,https://etherscan.io/tx/0x9bd7545eb1041ff158bb4323b15ac542ce83ec7eb14bff9e0896ca8788d7145a
Ξ0.1,https://etherscan.io/tx/0x7f26250d00492ded98f62fbe9baed4d752a26d5c34f43b10d1c04a7c10383ecd
Ξ0.0001,https://etherscan.io/tx/0x4af77e73ebdb3735918f4a99779644ab5dfe20575273b2ec2f0836ce7386033d
Ξ0.01,https://etherscan.io/tx/0xeeb1211247a6050c1f14a0a2154d74968a892c87f1f9087a6bb8d1f7554b147c
Ξ0.002,https://etherscan.io/tx/0xd87c36ae06bfe4472c429c0ff95faa45d911f614beb0d352dec2e556ac7490f9
Ξ0.28,https://etherscan.io/tx/0xd22081666222d31a2467be980df80d7c9819c4ae75e833a6c12de8479673c62d
Ξ0.0082,https://etherscan.io/tx/0xbc1d3410dc363bca7b8198e0ec6a866d7b30993540d3a18b55f0f8211c871070
Ξ0.1,https://etherscan.io/tx/0x2ce813695aa4f48694a5ba132c7d45678475c6e59af757c66dcec4b21e9c7c4a
Ξ0.1,https://etherscan.io/tx/0x231c8ce61093f409fafae2339d1093e61c924ddea29eae61f057db15cb9fe49b
Ξ1,https://etherscan.io/tx/0xcc4e58f45fff881e68a476ea56e79cecd09fc5a58acaaee577c06dc6d2da6f76
Ξ0.1,https://etherscan.io/tx/0x7220a5bf7e678a38e5c15a3ac17c0bf061de59990eaabbcdc197c4ca2e0a8e76
Ξ0.1,https://etherscan.io/tx/0xe1a243a39d263ccdd92df8ea64be3637eab3b75c2e3395dd1cd1d698b2354a75
Ξ0.5,https://etherscan.io/tx/0x4f23f4355c9112a6c6642b1749c876b89b10b39ea8159e87bdb38660dea9e9dd
Ξ0.009,https://etherscan.io/tx/0x243e1b49da4f990085db1aeda213214a3b84e77c0b66fbe3544043f113dc82bf
Ξ0.1,https://etherscan.io/tx/0x371be7f3ca56cc460c02f288e42afaed788de3747b51c4a58a2965fd5e2c19bb
Ξ1,https://etherscan.io/tx/0xf5355ea8449bab04acc350c337d9c05af7bd8dcbee198ab1d5b4de27289a874a
Ξ0.2,https://etherscan.io/tx/0x238cb7913715ae95d33ff12417f069cef06b6df4227a44933a8b37e182907ec5
Ξ0.1,https://etherscan.io/tx/0x9fcc24b1fbe7aca875ee9333a17521693dca8647f2117f5a944d804a425b0720
Ξ0.0818,https://etherscan.io/tx/0x4453e7bf991346403e456146e49896ab14ec4931ab5615b1696431c0bbe0475c
Ξ0.01,https://etherscan.io/tx/0x388b5f5c755242fa40d51b13bd9fd01f33486bbce4470264cd15d4d39e9b3341
Ξ0.1,https://etherscan.io/tx/0x58ffbbb025365e1309d310247ac3cc6375b6cd01dbe8f91c3c1f87ad22ae7c7c
Ξ0.01,https://etherscan.io/tx/0xf9740bd2bad565bf53072c7d1f8af37ae0ccb0ee258c0744e74eb0f47946394b
Ξ0.005,https://etherscan.io/tx/0xed217a034d3b929d837a345c1a45a8b80cf92ed42df9ec6edec99b4678550422
Ξ0.1,https://etherscan.io/tx/0xdd7727686a05d99f39fec534ac80745e1313082b2e792d56584c52756282b523
Ξ0.08,https://etherscan.io/tx/0xb08ea24b986aef3d26a09ddc80b2236832ef522ed96c978b42b5cef5d88181cd
Ξ1,https://etherscan.io/tx/0x3dbf95241dc636ba631567d8ba2c159e76259bf80575bc5a6d0e7a8d3a3fd7fb
Ξ0.1,https://etherscan.io/tx/0x5e38765f45f9c3b7c2c4cd13b4f1dd68f10811b69bad89e2c0768724b2e02503
Ξ0.98,https://etherscan.io/tx/0x0ae6007dba356951ed88f1da37669402af3a61d31f1cfe1d487092dd74b23a30
Ξ0.2,https://etherscan.io/tx/0x7f2378eb105024386df9edf7448373c438900496d805cc41e4b0dd1b7fcf5421
Ξ0.8,https://etherscan.io/tx/0x6d07e0b3d8436bae02ce7995aed440fd0f14bfc47bb67d49cde433eb256da16a
Ξ0.02,https://etherscan.io/tx/0x2b50313707e88f152ffa4ec0b4f7f4f6c678b40cfa461c7ed4780ced836df874
Ξ0.2,https://etherscan.io/tx/0xa6d6c4f75a147fc075d9131760ecbb93c29ff25a581758b741006faf9ee1c743
Ξ0.1,https://etherscan.io/tx/0x4ed884dea044d088206ddc0f25d7a265ef344c418f5ffe0186af47ddbc7453f2
Ξ0.07,https://etherscan.io/tx/0x00a9fca55ae173965eb268647b4e643f187e62e94fe92f88c399cbcab7360796
