comment,amount,link
wgmi,0.01,https://etherscan.io/tx/0x0f1c33fdfd3795b8d44d9d1398627716573b7ed5603ba58f0445e57704a59927
Always wanted to live through a revolution 🇺🇸,0.0177,https://etherscan.io/tx/0xbb01c7e497796785ed6c306fc88b810a0a6a3d38d62e01f156cf538fcad43855
w a g b t c,0.1,https://etherscan.io/tx/0x73544160dd08e17f11bdc9bf862d0e8595df45e4d1ab9245d3f2f6f6597c8f37
,0.06,https://etherscan.io/tx/0xe549980abb9cd6300e941621c9d44dfdb34e44bf475782b2a3b544b03cc44407
,0.042,https://etherscan.io/tx/0x17c70bae43b779b99bf1599fc0e580c35e3ce5b09ea37d8e4929beadd4fca8e2
,0.0127,https://etherscan.io/tx/0x25e3d52c9a6c52b9df438d305fbab7aee501b01c3894ec63e49399587c6ea05b
asan,0.01,https://etherscan.io/tx/0x3c98d90f4bf86c6c102b1789551be513e39391e40fa18234c91f31a49b1b3126
,0.0023,https://etherscan.io/tx/0x9bc48ead262e901a457755b313fa898822c384cce9c7d8d1620ef913cc1ffddc
,0.03,https://etherscan.io/tx/0x1c4df34c408721679f652ce9b3c1f9d84e5cdc37edca3b09ef0d96288beff2f4
One day I'll be in the US as well,0.0047,https://etherscan.io/tx/0x2ee45b93ccc8d3e8ed9c04327e6f874456253d6d05a88a57d1ca80596e26b56c
usa,0.01,https://etherscan.io/tx/0xf6f41445faf2680f7332f539ded4c6298f2b7f70be4497341c71d3bbc7c27483
,0.0118,https://etherscan.io/tx/0xaa78efc7a4c5616457189722e8144c085a95666fb6876346157652112f401449
,0.005,https://etherscan.io/tx/0xc491bc4e6c743ecf016507bc2d69e923a4992fd9e5006b3dc29a1c37fae56737
For Liberty.,0.0098,https://etherscan.io/tx/0xbce0d8c616e4043895b5cb9031f26dd8f412848520e8318bc36506c1644a0346
For freedom,0.01,https://etherscan.io/tx/0x241b3a8f97fb2b4c1e8a6c24827c424b82c7511c93e469b8430d6e0ecc35add8
The constitution is a beautiful work,0.001,https://etherscan.io/tx/0x7baa72905a232edbbd3601e736a07f966eaf9d0503c7ac0e2005d2546a492609
,0.0023,https://etherscan.io/tx/0xe2cac1bd8acaa1c29356d08181b5550f3170175fdc444355fc429a57ee8a60f2
For the people!,0.0002,https://etherscan.io/tx/0x21d8adcd8f420bde8467fd0a89d262cecbd1379219606c80036dd1cf6731add2
,0.003,https://etherscan.io/tx/0xa2a81d275e0a250e919c47c70969e7e77e22a55c67a14763e267224aa59c635b
,0.0118,https://etherscan.io/tx/0x8f54d451a32dff869e939a71d10fc67db6f41f56b3549ac5b1671b8edf41fd6c
,0.0004,https://etherscan.io/tx/0xd02de465400d0d97d6210de57cd9a486578254d59c83115d198563b869e8c776
,0.0047,https://etherscan.io/tx/0x42e07198dc876e09ad872071dab9b7c38847b9ac12480cdf64eb7cb7daaa71ad
LFG!,1,https://etherscan.io/tx/0x8da076786a84522dcaedc3ac671707e8886ea6576673b699e5fa32d55ce39c36
,0.02,https://etherscan.io/tx/0xd8eac6eeec6906c73046df6f82495b919fee02fd6640067652e3a02f6748a267
1,0.02,https://etherscan.io/tx/0x607d71adec42621d001bcad4248312779e86e23b746204b53e7a2fd01ff4d973
,0.02,https://etherscan.io/tx/0x5a3f1d66c789e72340b9e70318a149c91e00376a88e9e7e95da3f94f37f349f1
,0.01,https://etherscan.io/tx/0x06bd4a1e21bd69e13c1c3e35689d66e4ec5d23bd130f85772fdfc2544d180473
,0.0022,https://etherscan.io/tx/0x284662c46ba52d82cdcbe700098dce92c94d98a83c6458f49065359b49645710
,0.002,https://etherscan.io/tx/0x214eb122abcadd9503987ae23de8daa1a91979eb905880e3547d74a8e09a1d54
People 4ever4ever,0.0006,https://etherscan.io/tx/0xda62802b7fbae90fa486b8709f8c4ae219127d6ca39549a0d80e0a40e91990eb
People 4ever,0.01,https://etherscan.io/tx/0x2633f1f23b7a75f759a0a6e3aaf813ff89f15258e6e8763aad817b98d28f3860
"We the People, for the People.",0.1,https://etherscan.io/tx/0x85c65566cd7fcd1250c6587e319cb328528f0cccda515513691bf1182587581b
,1,https://etherscan.io/tx/0x745873c4490f7f847b920b1c30dfbf0a474697372d9cc3e8c0b17fcf5eeaf554
"Crypto is not just a technology, it’s a movement. Gemini has always believed that crypto will redesign society and empower the individual. That's why the Gemini Frontier Fund is proud to support ConstitutionDAO. The Constitution belongs to the people.",1.787,https://etherscan.io/tx/0x13c84e0a29b4c4d8b3ff226a2c7572bd1fcf4aae97daaa2f01a82065dccac829
"Own less than a match head piece of one of the copies of the Constitution, sure.",0.002,https://etherscan.io/tx/0x3f3a8200445618fccf90d129308dfa89d7fa935cb34efbd695d05caeae4a7df6
For God and Country,0.01,https://etherscan.io/tx/0x4bf6661ab178adae6e735aad9e5bf7aae15b279d89c24d5d07c04c2a66b1dc1e
0,0.02,https://etherscan.io/tx/0xe47830be5b9b294134ae21fe5c34a675f3d287d557fd9535b51ac74d6d35b825
,0.0017,https://etherscan.io/tx/0xf8ae1290b6613505be0bb1a9fe84f6bf7017c0ad8ce4c1025c86e4ffe2e277dc
,0.002,https://etherscan.io/tx/0xb90c5e95f1e694206d2f12381f15d4babc7e50b1664741e01307e1c9a20cc741
,0.025,https://etherscan.io/tx/0xeae3bfa775fbb233a39ce5edcfb4a31e32979696e1fdd17b90c8fff92915b4ab
Here's to all of us hardworking immigrants who get to live the American dream.,0.02,https://etherscan.io/tx/0x1868b8e0631607c871aab9187fddb8dcfb5b9317fc084433eacd508260b82ca4
,0.05,https://etherscan.io/tx/0x37b5e9521bda04f3455bd48b80c26e55456f7c9fd5acfc08534f4bf43d8873f5
Thank you Noah & Packy,0.1,https://etherscan.io/tx/0xa06976f184d7187ee84330a1d0c330556bb6e6fe9f090ef50bb57f7ff0817198
"""It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to than I have ever known."" - Charles Dickens",0.02,https://etherscan.io/tx/0x15a529981ddf00ab44d0bafff461d4b36b27cb9739c1fa899b5ae5902b6c5aec
0,0.01,https://etherscan.io/tx/0x022a50df4b1b176f8d5d4fd96e6cbaa14f026f8c1ca226c845f3d6203c90d332
4loveandfreedom,0.01,https://etherscan.io/tx/0xb37c41d107937106c58a06f7d2dc564913783d5155cab1c032a1244250486108
,0.03,https://etherscan.io/tx/0xcc19fa6a8f200788f06a57995c93677a2d6e3cac630b04a9acc44fbbf5c85abf
,0.1748,https://etherscan.io/tx/0x7ef55004ee5c5ababfec0c93cda07a18111fbe395cc5f32610f28c8b69236a8e
,0.0011,https://etherscan.io/tx/0xce8a2063f62cadbc69c2f9afb34613cd6221574e3c1d2c68260245d8bc506f01
,0.0163,https://etherscan.io/tx/0x7968261cc4e49c6213ee6b1db50c252f31b0b6ed4ebe4cfa98f44a8d7c92ca7a
,0.01,https://etherscan.io/tx/0xfef0d1e8eafdfc491009a1b4e27dda570fc0790ce5739f45231009b68c22d4d3
,0.0138,https://etherscan.io/tx/0xeec2202ee40db9d0efa00e394137a3726e417ac4ba4a50c5de680c1beac5c000
,0.0023,https://etherscan.io/tx/0x0d5ee4c33d85df553f3bfb5bb4ae94e6ac8715499947bf3e93975e7767391f68
📜 We the People 🇺🇸,0.01,https://etherscan.io/tx/0xbc3b881c099a86b5087023e260292bcdf0866e439143e9a41729a3668ef4977b
MERICA,0.15,https://etherscan.io/tx/0x79a7e947e3678a3bdfcd28ccccadae10e08eb492a546bae2ab710c4508191173
wethepeople,0.025,https://etherscan.io/tx/0xc39779762788b653a1aea8358d8d2c5de13787e51ddec400704e1a6ecdeb6a41
,0.01,https://etherscan.io/tx/0xe553ef11255ee5fda1ce2b34a5b5a747b3d19f7edc61899212fb991a16099616
,0.1,https://etherscan.io/tx/0xdc9427084088664a4cbbd61ab2b481fd30deb90be6496f015c92e2d266d62346
,0.1,https://etherscan.io/tx/0x05b179e561753d8bc800c7de9915bbf606cc73fcfcd19f8982e3d9509dce3d50
Molly <3,0.0005,https://etherscan.io/tx/0xd77dd066871395f5ed6201ea00dcab59b1dff6307cf765e40edfb90dcbb18982
"""""",0.1,https://etherscan.io/tx/0xb64e3b1fdbb16d07237108a0b5d9022d0812da08e87de9c24ce1c8f649419f58
gg,0.01,https://etherscan.io/tx/0xc75383cf7cfa8511c056e085e273c5b885e8b5695894ca69d39785c1c4d51695
gg,0.005,https://etherscan.io/tx/0xe2eb41a6a994923e335ce5f2904a3f1efc19ffbb37a24b3b3a82e42cea798d8d
lfgg,0.025,https://etherscan.io/tx/0xf35668cfaee35579878aa4423677da80856296ecf8d0896f6325dad96044c55f
DeFi-> LFG,0.17,https://etherscan.io/tx/0x15014663413d146f82da7e8e6b2a8a2eeb520f7aa2f64aa8b73ebe6fd4c33a41
,0.025,https://etherscan.io/tx/0xf48b07375ad89d1172203de9e489b2875e1497d5329935fe856628ed1835bc01
,0.002,https://etherscan.io/tx/0x51bb145f5bfe17ae535f5df1449893e3b3eb47867a6efc47822f7e5d1b39f717
,0.01,https://etherscan.io/tx/0x303a57fccbd37418a8ac28fccb0e4a47007b17df37c5dd37fd1540a21858dd1d
